Subject,Site,Freq,Task,
1,FEF,Beta,PO,0.04
2,FEF,Beta,PO,-0.039
3,FEF,Beta,PO,-0.0265
4,FEF,Beta,PO,-0.001
5,FEF,Beta,PO,0.002
6,FEF,Beta,PO,-0.0125
7,FEF,Beta,PO,0.002
8,FEF,Beta,PO,-0.0045
9,FEF,Beta,PO,0
10,FEF,Beta,PO,-0.005
11,FEF,Beta,PO,0.0305
12,FEF,Beta,PO,-0.0125
13,FEF,Beta,PO,0.0023
14,FEF,Beta,PO,-0.018
15,FEF,Beta,PO,-0.009
16,FEF,Beta,PO,-0.021
1,FEF,Beta,CJ,-0.004
2,FEF,Beta,CJ,-0.064
3,FEF,Beta,CJ,-0.037
4,FEF,Beta,CJ,-0.029
5,FEF,Beta,CJ,0.01
6,FEF,Beta,CJ,-0.013
7,FEF,Beta,CJ,0
8,FEF,Beta,CJ,0.068
9,FEF,Beta,CJ,0.0045
10,FEF,Beta,CJ,-0.01
11,FEF,Beta,CJ,0.071
12,FEF,Beta,CJ,0.0055
13,FEF,Beta,CJ,-0.0035
14,FEF,Beta,CJ,-0.0405
15,FEF,Beta,CJ,-0.011
16,FEF,Beta,CJ,-0.0115
1,FEF,Gamma,PO,0.1255
2,FEF,Gamma,PO,0.028
3,FEF,Gamma,PO,-0.0085
4,FEF,Gamma,PO,0.0015
5,FEF,Gamma,PO,0.014
6,FEF,Gamma,PO,0.0225
7,FEF,Gamma,PO,-0.0035
8,FEF,Gamma,PO,-0.022
9,FEF,Gamma,PO,-0.0085
10,FEF,Gamma,PO,-0.002
11,FEF,Gamma,PO,0.17
12,FEF,Gamma,PO,0.027
13,FEF,Gamma,PO,0.1126
14,FEF,Gamma,PO,0.0275
15,FEF,Gamma,PO,0.003
16,FEF,Gamma,PO,-0.011
1,FEF,Gamma,CJ,0.072
2,FEF,Gamma,CJ,0.0495
3,FEF,Gamma,CJ,-0.0079
4,FEF,Gamma,CJ,0.012
5,FEF,Gamma,CJ,0.0175
6,FEF,Gamma,CJ,0.0015
7,FEF,Gamma,CJ,0.001
8,FEF,Gamma,CJ,-0.01
9,FEF,Gamma,CJ,-0.009
10,FEF,Gamma,CJ,-0.003
11,FEF,Gamma,CJ,0.2395
12,FEF,Gamma,CJ,0.053
13,FEF,Gamma,CJ,0.0635
14,FEF,Gamma,CJ,0.0355
15,FEF,Gamma,CJ,-0.002
16,FEF,Gamma,CJ,-0.0185
1,IPS,Beta,PO,-0.0485
2,IPS,Beta,PO,-0.05
3,IPS,Beta,PO,-0.024
4,IPS,Beta,PO,-0.004
5,IPS,Beta,PO,-0.001
6,IPS,Beta,PO,-0.0205
7,IPS,Beta,PO,0.0035
8,IPS,Beta,PO,0.008
9,IPS,Beta,PO,0
10,IPS,Beta,PO,0.011
11,IPS,Beta,PO,-0.002
12,IPS,Beta,PO,-0.0175
13,IPS,Beta,PO,-0.0124
14,IPS,Beta,PO,0.0245
15,IPS,Beta,PO,-0.0045
16,IPS,Beta,PO,-0.02
1,IPS,Beta,CJ,-0.075
2,IPS,Beta,CJ,-0.08
3,IPS,Beta,CJ,-0.032
4,IPS,Beta,CJ,-0.019
5,IPS,Beta,CJ,0.0125
6,IPS,Beta,CJ,-0.055
7,IPS,Beta,CJ,-0.01
8,IPS,Beta,CJ,0.068
9,IPS,Beta,CJ,0.002
10,IPS,Beta,CJ,0.0235
11,IPS,Beta,CJ,0.026
12,IPS,Beta,CJ,-0.0065
13,IPS,Beta,CJ,0.0131
14,IPS,Beta,CJ,0
15,IPS,Beta,CJ,0.0065
16,IPS,Beta,CJ,-0.017
1,IPS,Gamma,PO,0.035
2,IPS,Gamma,PO,0.0195
3,IPS,Gamma,PO,-0.014
4,IPS,Gamma,PO,0.0005
5,IPS,Gamma,PO,0.006
6,IPS,Gamma,PO,0.0055
7,IPS,Gamma,PO,-0.0065
8,IPS,Gamma,PO,-0.017
9,IPS,Gamma,PO,-0.012
10,IPS,Gamma,PO,0.0095
11,IPS,Gamma,PO,0.0055
12,IPS,Gamma,PO,-0.012
13,IPS,Gamma,PO,0.0051
14,IPS,Gamma,PO,0.018
15,IPS,Gamma,PO,-0.021
16,IPS,Gamma,PO,-0.0165
1,IPS,Gamma,CJ,-0.012
2,IPS,Gamma,CJ,0.041
3,IPS,Gamma,CJ,-0.0194
4,IPS,Gamma,CJ,0.0055
5,IPS,Gamma,CJ,0.0135
6,IPS,Gamma,CJ,-0.0045
7,IPS,Gamma,CJ,-0.0065
8,IPS,Gamma,CJ,-0.0115
9,IPS,Gamma,CJ,-0.006
10,IPS,Gamma,CJ,0.01
11,IPS,Gamma,CJ,0.008
12,IPS,Gamma,CJ,0
13,IPS,Gamma,CJ,-0.0285
14,IPS,Gamma,CJ,0.0165
15,IPS,Gamma,CJ,-0.031
16,IPS,Gamma,CJ,-0.024
