Subject,Site,Freq,
1,FEF,Beta,0.4286
2,FEF,Beta,0.2
3,FEF,Beta,0.8182
4,FEF,Beta,0.3333
5,FEF,Beta,0.2963
6,FEF,Beta,0.3158
7,FEF,Beta,0.3704
8,FEF,Beta,0.5882
9,FEF,Beta,0.5238
10,FEF,Beta,0.3438
11,FEF,Beta,0.4615
12,FEF,Beta,0.5
13,FEF,Beta,0.45
14,FEF,Beta,0.7059
15,FEF,Beta,0.75
16,FEF,Beta,0.5
1,FEF,Gamma,0.7
2,FEF,Gamma,0.4545
3,FEF,Gamma,0.7273
4,FEF,Gamma,0.5714
5,FEF,Gamma,0.4643
6,FEF,Gamma,0.6923
7,FEF,Gamma,0.44
8,FEF,Gamma,0.5833
9,FEF,Gamma,0.3913
10,FEF,Gamma,0.6667
11,FEF,Gamma,1
12,FEF,Gamma,0.5217
13,FEF,Gamma,0.4615
14,FEF,Gamma,0.6667
15,FEF,Gamma,0.7419
16,FEF,Gamma,0.4545
1,IPS,Beta,0.4286
2,IPS,Beta,0.6957
3,IPS,Beta,0.5
4,IPS,Beta,0.6667
5,IPS,Beta,0.3929
6,IPS,Beta,0.4583
7,IPS,Beta,0.4615
8,IPS,Beta,0.5263
9,IPS,Beta,0.65
10,IPS,Beta,0.6154
11,IPS,Beta,0.52
12,IPS,Beta,0.3571
13,IPS,Beta,0.6667
14,IPS,Beta,0.3125
15,IPS,Beta,0.6923
16,IPS,Beta,0.5
1,IPS,Gamma,0.5714
2,IPS,Gamma,0.375
3,IPS,Gamma,0.7
4,IPS,Gamma,0.7059
5,IPS,Gamma,0.55
6,IPS,Gamma,0.4286
7,IPS,Gamma,0.5789
8,IPS,Gamma,0.25
9,IPS,Gamma,0.5909
10,IPS,Gamma,0.5217
11,IPS,Gamma,0.5
12,IPS,Gamma,0.3333
13,IPS,Gamma,0.5294
14,IPS,Gamma,0.7692
15,IPS,Gamma,0.8056
16,IPS,Gamma,0.5455
