Subject,Site,Freq,Task,
1,FEF,Beta,PO,-0.0298
2,FEF,Beta,PO,0.0256
3,FEF,Beta,PO,-0.0808
4,FEF,Beta,PO,0
5,FEF,Beta,PO,0
6,FEF,Beta,PO,0.0217
7,FEF,Beta,PO,0.0667
8,FEF,Beta,PO,-0.1818
9,FEF,Beta,PO,0
10,FEF,Beta,PO,0
11,FEF,Beta,PO,0.1343
12,FEF,Beta,PO,0
13,FEF,Beta,PO,-0.1032
14,FEF,Beta,PO,0
15,FEF,Beta,PO,-0.0789
16,FEF,Beta,PO,-0.0889
1,FEF,Beta,CJ,0.0132
2,FEF,Beta,CJ,-0.2112
3,FEF,Beta,CJ,-0.0681
4,FEF,Beta,CJ,-0.0455
5,FEF,Beta,CJ,-0.0274
6,FEF,Beta,CJ,0.0158
7,FEF,Beta,CJ,-0.05
8,FEF,Beta,CJ,-0.1061
9,FEF,Beta,CJ,0.0338
10,FEF,Beta,CJ,-0.1841
11,FEF,Beta,CJ,-0.0556
12,FEF,Beta,CJ,0.0849
13,FEF,Beta,CJ,-0.1685
14,FEF,Beta,CJ,0
15,FEF,Beta,CJ,0.0078
16,FEF,Beta,CJ,-0.0672
1,FEF,Gamma,PO,-0.0088
2,FEF,Gamma,PO,0
3,FEF,Gamma,PO,-0.0167
4,FEF,Gamma,PO,0
5,FEF,Gamma,PO,0
6,FEF,Gamma,PO,0.0213
7,FEF,Gamma,PO,0.0294
8,FEF,Gamma,PO,0
9,FEF,Gamma,PO,0
10,FEF,Gamma,PO,-0.0222
11,FEF,Gamma,PO,0
12,FEF,Gamma,PO,-0.0464
13,FEF,Gamma,PO,-0.0278
14,FEF,Gamma,PO,0
15,FEF,Gamma,PO,0.0321
16,FEF,Gamma,PO,0
1,FEF,Gamma,CJ,0.1133
2,FEF,Gamma,CJ,0.0576
3,FEF,Gamma,CJ,-0.0189
4,FEF,Gamma,CJ,0.019
5,FEF,Gamma,CJ,-0.1179
6,FEF,Gamma,CJ,0.0236
7,FEF,Gamma,CJ,-0.009
8,FEF,Gamma,CJ,-0.2375
9,FEF,Gamma,CJ,-0.0957
10,FEF,Gamma,CJ,0.2751
11,FEF,Gamma,CJ,0.1667
12,FEF,Gamma,CJ,-0.0355
13,FEF,Gamma,CJ,-0.1172
14,FEF,Gamma,CJ,0.1277
15,FEF,Gamma,CJ,-0.0645
16,FEF,Gamma,CJ,0.0634
1,IPS,Beta,PO,0.0571
2,IPS,Beta,PO,0.0256
3,IPS,Beta,PO,-0.1919
4,IPS,Beta,PO,0
5,IPS,Beta,PO,0
6,IPS,Beta,PO,0.0217
7,IPS,Beta,PO,0.0667
8,IPS,Beta,PO,0
9,IPS,Beta,PO,0
10,IPS,Beta,PO,0
11,IPS,Beta,PO,0.0234
12,IPS,Beta,PO,0
13,IPS,Beta,PO,0.0583
14,IPS,Beta,PO,0
15,IPS,Beta,PO,-0.0286
16,IPS,Beta,PO,-0.0997
1,IPS,Beta,CJ,-0.1132
2,IPS,Beta,CJ,-0.2968
3,IPS,Beta,CJ,0.0526
4,IPS,Beta,CJ,-0.1883
5,IPS,Beta,CJ,-0.0225
6,IPS,Beta,CJ,-0.0426
7,IPS,Beta,CJ,0.105
8,IPS,Beta,CJ,-0.197
9,IPS,Beta,CJ,-0.0017
10,IPS,Beta,CJ,0.0361
11,IPS,Beta,CJ,-0.1667
12,IPS,Beta,CJ,0.1339
13,IPS,Beta,CJ,-0.1584
14,IPS,Beta,CJ,-0.0014
15,IPS,Beta,CJ,-0.1381
16,IPS,Beta,CJ,-0.1264
1,IPS,Gamma,PO,0.0074
2,IPS,Gamma,PO,0
3,IPS,Gamma,PO,0.0119
4,IPS,Gamma,PO,-0.0417
5,IPS,Gamma,PO,0
6,IPS,Gamma,PO,0.0213
7,IPS,Gamma,PO,0.0294
8,IPS,Gamma,PO,-0.2941
9,IPS,Gamma,PO,0
10,IPS,Gamma,PO,-0.0208
11,IPS,Gamma,PO,0
12,IPS,Gamma,PO,0.025
13,IPS,Gamma,PO,-0.0417
14,IPS,Gamma,PO,0
15,IPS,Gamma,PO,0.0833
16,IPS,Gamma,PO,0
1,IPS,Gamma,CJ,0.0859
2,IPS,Gamma,CJ,0.1215
3,IPS,Gamma,CJ,-0.0282
4,IPS,Gamma,CJ,-0.0778
5,IPS,Gamma,CJ,0.1556
6,IPS,Gamma,CJ,0.0568
7,IPS,Gamma,CJ,-0.0119
8,IPS,Gamma,CJ,0.1815
9,IPS,Gamma,CJ,-0.074
10,IPS,Gamma,CJ,0.2964
11,IPS,Gamma,CJ,0.0333
12,IPS,Gamma,CJ,0.0686
13,IPS,Gamma,CJ,-0.0415
14,IPS,Gamma,CJ,0.1064
15,IPS,Gamma,CJ,-0.0554
16,IPS,Gamma,CJ,0.0417
