Subject,Site,Freq,
1,FEF,Beta,0.041
2,FEF,Beta,-0.0525
3,FEF,Beta,-0.028
4,FEF,Beta,-0.007
5,FEF,Beta,0.0025
6,FEF,Beta,-0.0145
7,FEF,Beta,0.002
8,FEF,Beta,0.02
9,FEF,Beta,0.001
10,FEF,Beta,-0.004
11,FEF,Beta,0.0435
12,FEF,Beta,-0.006
13,FEF,Beta,0.005
14,FEF,Beta,-0.0325
15,FEF,Beta,-0.009
16,FEF,Beta,-0.016
1,FEF,Gamma,0.092
2,FEF,Gamma,0.049
3,FEF,Gamma,-0.009
4,FEF,Gamma,0.007
5,FEF,Gamma,0.016
6,FEF,Gamma,0.0215
7,FEF,Gamma,-0.002
8,FEF,Gamma,-0.02
9,FEF,Gamma,-0.009
10,FEF,Gamma,0.005
11,FEF,Gamma,0.237
12,FEF,Gamma,0.034
13,FEF,Gamma,0.083
14,FEF,Gamma,0.028
15,FEF,Gamma,-0.0035
16,FEF,Gamma,-0.0115
1,IPS,Beta,-0.056
2,IPS,Beta,-0.0665
3,IPS,Beta,-0.022
4,IPS,Beta,-0.0055
5,IPS,Beta,0.0005
6,IPS,Beta,-0.0165
7,IPS,Beta,-0.0045
8,IPS,Beta,0.04
9,IPS,Beta,0.004
10,IPS,Beta,0.013
11,IPS,Beta,0.0085
12,IPS,Beta,-0.014
13,IPS,Beta,-0.0045
14,IPS,Beta,0.015
15,IPS,Beta,-0.002
16,IPS,Beta,-0.02
1,IPS,Gamma,0.0085
2,IPS,Gamma,0.0415
3,IPS,Gamma,-0.0185
4,IPS,Gamma,0.0025
5,IPS,Gamma,0.007
6,IPS,Gamma,0.004
7,IPS,Gamma,-0.006
8,IPS,Gamma,-0.0135
9,IPS,Gamma,-0.01
10,IPS,Gamma,0.0125
11,IPS,Gamma,0.0075
12,IPS,Gamma,-0.0075
13,IPS,Gamma,-0.013
14,IPS,Gamma,0.0085
15,IPS,Gamma,-0.0275
16,IPS,Gamma,-0.0235
