Subject,Site,Freq,
1,FEF,Beta,0.2143
2,FEF,Beta,0.45
3,FEF,Beta,0.2727
4,FEF,Beta,0.3333
5,FEF,Beta,0.5185
6,FEF,Beta,0.3684
7,FEF,Beta,0.7037
8,FEF,Beta,0.4118
9,FEF,Beta,0.4762
10,FEF,Beta,0.4062
11,FEF,Beta,0.3846
12,FEF,Beta,0.3333
13,FEF,Beta,0.65
14,FEF,Beta,0.4118
15,FEF,Beta,0.4643
16,FEF,Beta,0.3333
1,FEF,Gamma,0.4
2,FEF,Gamma,0.6364
3,FEF,Gamma,0.5455
4,FEF,Gamma,0.6429
5,FEF,Gamma,0.4286
6,FEF,Gamma,0.6154
7,FEF,Gamma,0.52
8,FEF,Gamma,0.5
9,FEF,Gamma,0.6522
10,FEF,Gamma,0.5417
11,FEF,Gamma,0.3333
12,FEF,Gamma,0.7826
13,FEF,Gamma,0.7692
14,FEF,Gamma,0.75
15,FEF,Gamma,0.4194
16,FEF,Gamma,0.5
1,IPS,Beta,0.381
2,IPS,Beta,0.4783
3,IPS,Beta,0.5
4,IPS,Beta,0.6667
5,IPS,Beta,0.4286
6,IPS,Beta,0.5
7,IPS,Beta,0.3077
8,IPS,Beta,0.3158
9,IPS,Beta,0.5
10,IPS,Beta,0.5
11,IPS,Beta,0.4
12,IPS,Beta,0.3571
13,IPS,Beta,0.5
14,IPS,Beta,0.4375
15,IPS,Beta,0.6154
16,IPS,Beta,0.4231
1,IPS,Gamma,0.4286
2,IPS,Gamma,0.375
3,IPS,Gamma,0.3
4,IPS,Gamma,0.3529
5,IPS,Gamma,0.65
6,IPS,Gamma,0.6429
7,IPS,Gamma,0.7895
8,IPS,Gamma,0.375
9,IPS,Gamma,0.6364
10,IPS,Gamma,0.5217
11,IPS,Gamma,0.5
12,IPS,Gamma,0.6667
13,IPS,Gamma,0.5882
14,IPS,Gamma,0.4615
15,IPS,Gamma,0.3889
16,IPS,Gamma,0.4545
