Subject,Site,Freq,Task,
1,FEF,Beta,PO,0.037
2,FEF,Beta,PO,-0.0225
3,FEF,Beta,PO,-0.006
4,FEF,Beta,PO,-0.005
5,FEF,Beta,PO,0.0075
6,FEF,Beta,PO,-0.009
7,FEF,Beta,PO,-0.0035
8,FEF,Beta,PO,0.008
9,FEF,Beta,PO,-0.002
10,FEF,Beta,PO,0.0025
11,FEF,Beta,PO,0.012
12,FEF,Beta,PO,0.006
13,FEF,Beta,PO,0.0011
14,FEF,Beta,PO,-0.0045
15,FEF,Beta,PO,-0.005
16,FEF,Beta,PO,-0.0165
1,FEF,Beta,CJ,-0.017
2,FEF,Beta,CJ,-0.042
3,FEF,Beta,CJ,-0.037
4,FEF,Beta,CJ,-0.0105
5,FEF,Beta,CJ,0.0125
6,FEF,Beta,CJ,-0.024
7,FEF,Beta,CJ,-0.006
8,FEF,Beta,CJ,0.003
9,FEF,Beta,CJ,-0.005
10,FEF,Beta,CJ,-0.007
11,FEF,Beta,CJ,0.017
12,FEF,Beta,CJ,0.006
13,FEF,Beta,CJ,0.005
14,FEF,Beta,CJ,-0.044
15,FEF,Beta,CJ,0.01
16,FEF,Beta,CJ,-0.021
1,FEF,Gamma,PO,0.188
2,FEF,Gamma,PO,0.015
3,FEF,Gamma,PO,-0.001
4,FEF,Gamma,PO,-0.002
5,FEF,Gamma,PO,0.006
6,FEF,Gamma,PO,0.005
7,FEF,Gamma,PO,-0.006
8,FEF,Gamma,PO,-0.0075
9,FEF,Gamma,PO,-0.008
10,FEF,Gamma,PO,-0.0035
11,FEF,Gamma,PO,0.007
12,FEF,Gamma,PO,-0.009
13,FEF,Gamma,PO,0.0359
14,FEF,Gamma,PO,0.031
15,FEF,Gamma,PO,-0.004
16,FEF,Gamma,PO,-0.001
1,FEF,Gamma,CJ,0.0685
2,FEF,Gamma,CJ,0.079
3,FEF,Gamma,CJ,0.005
4,FEF,Gamma,CJ,-0.006
5,FEF,Gamma,CJ,0.01
6,FEF,Gamma,CJ,0.004
7,FEF,Gamma,CJ,0.001
8,FEF,Gamma,CJ,-0.005
9,FEF,Gamma,CJ,-0.012
10,FEF,Gamma,CJ,-0.006
11,FEF,Gamma,CJ,0.0365
12,FEF,Gamma,CJ,0.0205
13,FEF,Gamma,CJ,0.056
14,FEF,Gamma,CJ,0.002
15,FEF,Gamma,CJ,-0.037
16,FEF,Gamma,CJ,0.001
1,IPS,Beta,PO,-0.048
2,IPS,Beta,PO,-0.033
3,IPS,Beta,PO,-0.009
4,IPS,Beta,PO,0.002
5,IPS,Beta,PO,0
6,IPS,Beta,PO,-0.007
7,IPS,Beta,PO,-0.004
8,IPS,Beta,PO,0
9,IPS,Beta,PO,-0.001
10,IPS,Beta,PO,0.021
11,IPS,Beta,PO,0.002
12,IPS,Beta,PO,-0.001
13,IPS,Beta,PO,0.0085
14,IPS,Beta,PO,0.0255
15,IPS,Beta,PO,-0.01
16,IPS,Beta,PO,-0.0135
1,IPS,Beta,CJ,-0.074
2,IPS,Beta,CJ,-0.0695
3,IPS,Beta,CJ,-0.034
4,IPS,Beta,CJ,-0.0055
5,IPS,Beta,CJ,-0.002
6,IPS,Beta,CJ,-0.006
7,IPS,Beta,CJ,0
8,IPS,Beta,CJ,0.0065
9,IPS,Beta,CJ,-0.009
10,IPS,Beta,CJ,0.013
11,IPS,Beta,CJ,0.0035
12,IPS,Beta,CJ,0.0055
13,IPS,Beta,CJ,0.026
14,IPS,Beta,CJ,0.0095
15,IPS,Beta,CJ,0.011
16,IPS,Beta,CJ,-0.023
1,IPS,Gamma,PO,-0.001
2,IPS,Gamma,PO,0.0204
3,IPS,Gamma,PO,-0.003
4,IPS,Gamma,PO,0.001
5,IPS,Gamma,PO,0.003
6,IPS,Gamma,PO,0.0075
7,IPS,Gamma,PO,-0.002
8,IPS,Gamma,PO,-0.009
9,IPS,Gamma,PO,-0.006
10,IPS,Gamma,PO,0.0055
11,IPS,Gamma,PO,0.0125
12,IPS,Gamma,PO,-0.019
13,IPS,Gamma,PO,0.005
14,IPS,Gamma,PO,0.0105
15,IPS,Gamma,PO,-0.0065
16,IPS,Gamma,PO,-0.0055
1,IPS,Gamma,CJ,-0.012
2,IPS,Gamma,CJ,0.072
3,IPS,Gamma,CJ,-0.007
4,IPS,Gamma,CJ,-0.0013
5,IPS,Gamma,CJ,0.014
6,IPS,Gamma,CJ,-0.014
7,IPS,Gamma,CJ,-0.004
8,IPS,Gamma,CJ,-0.0055
9,IPS,Gamma,CJ,-0.012
10,IPS,Gamma,CJ,0.0165
11,IPS,Gamma,CJ,0.02
12,IPS,Gamma,CJ,-0.004
13,IPS,Gamma,CJ,0.002
14,IPS,Gamma,CJ,-0.0025
15,IPS,Gamma,CJ,-0.038
16,IPS,Gamma,CJ,-0.001
