Subject,Site,Freq,
1,FEF,Beta,0.45
2,FEF,Beta,0.1667
3,FEF,Beta,0.5
4,FEF,Beta,0.5714
5,FEF,Beta,0.4
6,FEF,Beta,0.3529
7,FEF,Beta,0.5789
8,FEF,Beta,0.2353
9,FEF,Beta,0.44
10,FEF,Beta,0.6562
11,FEF,Beta,0.7778
12,FEF,Beta,0.4375
13,FEF,Beta,0.32
14,FEF,Beta,0.7059
15,FEF,Beta,0.7778
16,FEF,Beta,0.35
1,FEF,Gamma,0.5455
2,FEF,Gamma,0.0769
3,FEF,Gamma,0.1
4,FEF,Gamma,0.5789
5,FEF,Gamma,0.2857
6,FEF,Gamma,0.5
7,FEF,Gamma,0.6071
8,FEF,Gamma,0.4615
9,FEF,Gamma,0.3478
10,FEF,Gamma,0.5417
11,FEF,Gamma,0.6667
12,FEF,Gamma,0.4667
13,FEF,Gamma,0.5
14,FEF,Gamma,0.3889
15,FEF,Gamma,0.8462
16,FEF,Gamma,0.5294
1,IPS,Beta,0.5
2,IPS,Beta,0.3043
3,IPS,Beta,0.8
4,IPS,Beta,0.5455
5,IPS,Beta,0.36
6,IPS,Beta,0.6786
7,IPS,Beta,0.5882
8,IPS,Beta,0.6471
9,IPS,Beta,0.5882
10,IPS,Beta,0.64
11,IPS,Beta,0.6364
12,IPS,Beta,0.5294
13,IPS,Beta,0.6842
14,IPS,Beta,0.5385
15,IPS,Beta,0.8
16,IPS,Beta,0.5909
1,IPS,Gamma,0.5263
2,IPS,Gamma,0.5714
3,IPS,Gamma,0.5
4,IPS,Gamma,0.5
5,IPS,Gamma,0.3636
6,IPS,Gamma,0.4762
7,IPS,Gamma,0.4706
8,IPS,Gamma,0.3889
9,IPS,Gamma,0.5
10,IPS,Gamma,0.4444
11,IPS,Gamma,0.6667
12,IPS,Gamma,0.381
13,IPS,Gamma,0.6
14,IPS,Gamma,0.4706
15,IPS,Gamma,0.8286
16,IPS,Gamma,0.5455
