Subject,Site,Freq,Task,
1,FEF,Beta,PO,0.0056
2,FEF,Beta,PO,0
3,FEF,Beta,PO,0.0323
4,FEF,Beta,PO,0.0417
5,FEF,Beta,PO,0
6,FEF,Beta,PO,0
7,FEF,Beta,PO,0.0385
8,FEF,Beta,PO,-0.0818
9,FEF,Beta,PO,0
10,FEF,Beta,PO,0
11,FEF,Beta,PO,0.051
12,FEF,Beta,PO,0
13,FEF,Beta,PO,-0.0231
14,FEF,Beta,PO,0
15,FEF,Beta,PO,0.0395
16,FEF,Beta,PO,0.0217
1,FEF,Beta,CJ,0.0804
2,FEF,Beta,CJ,0.0947
3,FEF,Beta,CJ,-0.0833
4,FEF,Beta,CJ,0.1754
5,FEF,Beta,CJ,0.1726
6,FEF,Beta,CJ,0.1786
7,FEF,Beta,CJ,0.1151
8,FEF,Beta,CJ,-0.0308
9,FEF,Beta,CJ,-0.0546
10,FEF,Beta,CJ,-0.082
11,FEF,Beta,CJ,0.2281
12,FEF,Beta,CJ,0.1429
13,FEF,Beta,CJ,-0.0972
14,FEF,Beta,CJ,-0.0417
15,FEF,Beta,CJ,0.0323
16,FEF,Beta,CJ,-0.0317
1,FEF,Gamma,PO,-0.0084
2,FEF,Gamma,PO,0
3,FEF,Gamma,PO,0
4,FEF,Gamma,PO,0
5,FEF,Gamma,PO,0
6,FEF,Gamma,PO,0.0217
7,FEF,Gamma,PO,0
8,FEF,Gamma,PO,0.0078
9,FEF,Gamma,PO,0
10,FEF,Gamma,PO,-0.0227
11,FEF,Gamma,PO,-0.4019
12,FEF,Gamma,PO,-0.0376
13,FEF,Gamma,PO,0.0667
14,FEF,Gamma,PO,0
15,FEF,Gamma,PO,0.0033
16,FEF,Gamma,PO,-0.0244
1,FEF,Gamma,CJ,0.0905
2,FEF,Gamma,CJ,0.1757
3,FEF,Gamma,CJ,-0.0428
4,FEF,Gamma,CJ,-0.0457
5,FEF,Gamma,CJ,0.1905
6,FEF,Gamma,CJ,0.1319
7,FEF,Gamma,CJ,-0.175
8,FEF,Gamma,CJ,-0.2545
9,FEF,Gamma,CJ,0.0208
10,FEF,Gamma,CJ,0.2109
11,FEF,Gamma,CJ,0.2421
12,FEF,Gamma,CJ,-0.124
13,FEF,Gamma,CJ,-0.0357
14,FEF,Gamma,CJ,-0.1042
15,FEF,Gamma,CJ,0.0095
16,FEF,Gamma,CJ,0.3466
1,IPS,Beta,PO,0.05
2,IPS,Beta,PO,0
3,IPS,Beta,PO,-0.0789
4,IPS,Beta,PO,0.0417
5,IPS,Beta,PO,0
6,IPS,Beta,PO,0
7,IPS,Beta,PO,0.0385
8,IPS,Beta,PO,-0.1
9,IPS,Beta,PO,0
10,IPS,Beta,PO,0
11,IPS,Beta,PO,0.051
12,IPS,Beta,PO,0
13,IPS,Beta,PO,0
14,IPS,Beta,PO,0
15,IPS,Beta,PO,0.0257
16,IPS,Beta,PO,-0.0033
1,IPS,Beta,CJ,0.0985
2,IPS,Beta,CJ,-0.1727
3,IPS,Beta,CJ,0.0784
4,IPS,Beta,CJ,0.0891
5,IPS,Beta,CJ,0.1455
6,IPS,Beta,CJ,-0.0254
7,IPS,Beta,CJ,-0.1106
8,IPS,Beta,CJ,-0.0676
9,IPS,Beta,CJ,-0.0084
10,IPS,Beta,CJ,0.0702
11,IPS,Beta,CJ,0.1123
12,IPS,Beta,CJ,-0.0071
13,IPS,Beta,CJ,0
14,IPS,Beta,CJ,0.0299
15,IPS,Beta,CJ,-0.1321
16,IPS,Beta,CJ,-0.1841
1,IPS,Gamma,PO,0.0488
2,IPS,Gamma,PO,0
3,IPS,Gamma,PO,0
4,IPS,Gamma,PO,0
5,IPS,Gamma,PO,0
6,IPS,Gamma,PO,-0.0033
7,IPS,Gamma,PO,0
8,IPS,Gamma,PO,0.0667
9,IPS,Gamma,PO,0
10,IPS,Gamma,PO,0
11,IPS,Gamma,PO,-0.0837
12,IPS,Gamma,PO,0.025
13,IPS,Gamma,PO,0.0454
14,IPS,Gamma,PO,0
15,IPS,Gamma,PO,-0.038
16,IPS,Gamma,PO,0
1,IPS,Gamma,CJ,0.0005
2,IPS,Gamma,CJ,0.3028
3,IPS,Gamma,CJ,-0.3295
4,IPS,Gamma,CJ,0.0046
5,IPS,Gamma,CJ,0.2346
6,IPS,Gamma,CJ,-0.0042
7,IPS,Gamma,CJ,0.0388
8,IPS,Gamma,CJ,-0.2167
9,IPS,Gamma,CJ,0.033
10,IPS,Gamma,CJ,0.1697
11,IPS,Gamma,CJ,0.0921
12,IPS,Gamma,CJ,-0.0533
13,IPS,Gamma,CJ,-0.0008
14,IPS,Gamma,CJ,-0.0833
15,IPS,Gamma,CJ,-0.1854
16,IPS,Gamma,CJ,0.2194
