Subject,Site,Freq,
1,FEF,Beta,0.35
2,FEF,Beta,0.5
3,FEF,Beta,0.75
4,FEF,Beta,0.5714
5,FEF,Beta,0.4
6,FEF,Beta,0.6471
7,FEF,Beta,0.2105
8,FEF,Beta,0.2941
9,FEF,Beta,0.56
10,FEF,Beta,0.4062
11,FEF,Beta,0.3333
12,FEF,Beta,0.625
13,FEF,Beta,0.48
14,FEF,Beta,0.4118
15,FEF,Beta,0.4074
16,FEF,Beta,0.5
1,FEF,Gamma,0.7273
2,FEF,Gamma,0.5385
3,FEF,Gamma,0.7
4,FEF,Gamma,0.4737
5,FEF,Gamma,0.5714
6,FEF,Gamma,0.5714
7,FEF,Gamma,0.4286
8,FEF,Gamma,0.5769
9,FEF,Gamma,0.6957
10,FEF,Gamma,0.5
11,FEF,Gamma,1
12,FEF,Gamma,0.5667
13,FEF,Gamma,0.75
14,FEF,Gamma,0.5
15,FEF,Gamma,0.3077
16,FEF,Gamma,0.5294
1,IPS,Beta,0.65
2,IPS,Beta,0.3478
3,IPS,Beta,0.2
4,IPS,Beta,0.6364
5,IPS,Beta,0.52
6,IPS,Beta,0.3929
7,IPS,Beta,0.2941
8,IPS,Beta,0.4706
9,IPS,Beta,0.6471
10,IPS,Beta,0.4
11,IPS,Beta,0.3182
12,IPS,Beta,0.5882
13,IPS,Beta,0.3684
14,IPS,Beta,0.6154
15,IPS,Beta,0.6
16,IPS,Beta,0.5455
1,IPS,Gamma,0.3684
2,IPS,Gamma,0.2857
3,IPS,Gamma,0.5
4,IPS,Gamma,0.5
5,IPS,Gamma,0.6364
6,IPS,Gamma,0.7143
7,IPS,Gamma,0.6471
8,IPS,Gamma,0.3889
9,IPS,Gamma,0.65
10,IPS,Gamma,0.5185
11,IPS,Gamma,0.5
12,IPS,Gamma,0.7143
13,IPS,Gamma,0.65
14,IPS,Gamma,0.4706
15,IPS,Gamma,0.4
16,IPS,Gamma,0.5
